ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10416983,HZ154835,2/17/2016 11:30,0000X N MICHIGAN AVE,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,112,1,42,32,08A,1177306,1900590,2016,2/10/2018 15:50,41.88255387,-87.6243838,"(41.882553868, -87.624383802)"
10416984,HZ154824,2/17/2016 14:10,004XX N CLAREMONT AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1221,12,26,24,7,1160657,1903076,2016,2/10/2018 15:50,41.88973681,-87.68545019,"(41.88973681, -87.68545019)"
10417012,HZ154900,2/16/2016 9:58,081XX S VINCENNES AVE,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,622,6,21,44,08A,1174708,1850883,2016,2/10/2018 15:50,41.74621174,-87.63540603,"(41.74621174, -87.635406033)"
10417035,HZ154733,2/16/2016 13:30,019XX S HALSTED ST,917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",OTHER,FALSE,FALSE,1235,12,25,31,7,1171338,1890798,2016,2/10/2018 15:50,41.8558171,-87.64658589,"(41.855817097, -87.646585893)"
10417038,HZ155007,2/17/2016 8:55,016XX S SPRINGFIELD AVE,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,SIDEWALK,FALSE,FALSE,1014,10,24,29,08A,1150665,1891598,2016,2/10/2018 15:50,41.85844105,-87.72244535,"(41.858441052, -87.72244535)"
10417064,HZ154980,2/17/2016 13:00,036XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1712,17,39,14,08A,1151066,1931647,2016,2/10/2018 15:50,41.96833138,-87.71992202,"(41.968331376, -87.719922024)"
10417067,HZ154933,2/17/2016 15:45,036XX W NORTH AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2535,25,26,23,04A,1152023,1910393,2016,2/10/2018 15:50,41.90998988,-87.71696507,"(41.909989881, -87.716965071)"
10417069,HZ154844,2/12/2016 20:15,071XX W CORNELIA AVE,560,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, BUILDING",TRUE,FALSE,1632,16,36,17,08A,1127656,1922427,2016,2/10/2018 15:50,41.94345831,-87.80620937,"(41.943458311, -87.806209369)"
10417071,HZ154972,2/17/2016 16:48,011XX N KEYSTONE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1111,11,27,23,08A,1149176,1907349,2016,2/10/2018 15:50,41.90169251,-87.72750285,"(41.901692505, -87.727502852)"
10417080,HZ154997,2/17/2016 0:30,030XX N CENTRAL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,FALSE,2514,25,31,19,04A,1138506,1919656,2016,2/10/2018 15:50,41.93566439,-87.76639671,"(41.935664385, -87.766396707)"
10417084,HZ154726,2/16/2016 14:30,052XX S KEDZIE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,822,8,14,63,04A,1155932,1869806,2016,2/10/2018 15:50,41.79853663,-87.70369824,"(41.798536631, -87.703698239)"
10417090,HZ155005,2/17/2016 16:45,067XX N DAMEN AVE,560,ASSAULT,SIMPLE,STREET,FALSE,TRUE,2412,24,50,2,08A,1161738,1944555,2016,2/10/2018 15:50,42.00353503,-87.68031975,"(42.003535028, -87.680319747)"
10417095,HZ154881,2/16/2016 17:00,002XX N KEELER AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1114,11,28,26,08A,1148358,1900901,2016,2/10/2018 15:50,41.88401431,-87.73067384,"(41.884014312, -87.730673844)"
12012123,JD189189,3/18/2020 3:05,027XX W POTOMAC AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,1423,14,26,24,04A,1157995,1908534,2020,3/25/2020 15:47,41.90476878,-87.69507711,"(41.904768775, -87.695077108)"
10417115,HZ154970,2/17/2016 16:30,0000X E CERMAK RD,560,ASSAULT,SIMPLE,CTA STATION,FALSE,TRUE,131,1,2,33,08A,1176830,1889758,2016,2/10/2018 15:50,41.85284096,-87.62645919,"(41.852840961, -87.626459189)"
